dataset,split,doc_id,document_type,schema_name,source_file,text,char_count,word_count,sentence_count,entity_count,relation_count,annotation_file_count,label_types,text_sha256,eligible,length_bucket,notes
SciERC,train,ICCV_2011_47_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"We present a method for detecting 3D objects using multi-modalities . While it is generic , we demonstrate it on the combination of an image and a dense depth map which give complementary object information . It works in real-time , under heavy clutter , does not require a time consuming training stage , and can handle untextured objects . It is based on an efficient representation of templates that capture the different modalities , and we show in many experiments on commodity hardware that our approach significantly outperforms state-of-the-art methods on single modalities .",583,95,4,18,11,1,NER:Generic|NER:OtherScientificTerm|NER:Task|REL:COMPARE|REL:CONJUNCTION|REL:FEATURE-OF|REL:USED-FOR,26d3cdfa689090626a4811ee915fc98bf7d3c43dd81a6773a624827dfe765e58,1,short,
SciERC,train,CVPR_1998_10_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"The compact description of a video sequence through a single image map and a dominant motion has applications in several domains , including video browsing and retrieval , compression , mosaicing , and visual summarization . Building such a representation requires the capability to register all the frames with respect to the dominant object in the scene , a task which has been , in the past , addressed through temporally localized motion estimates . In this paper , we show how the lack of temporal consistency associated with such estimates can undermine the validity of the dominant motion assumption , leading to oscillation between different scene interpretations and poor registration . To avoid this oscillation , we augment the motion model with a generic temporal constraint which increases the robustness against competing interpretations , leading to more meaningful content summarization .",904,142,4,22,14,1,NER:Generic|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:CONJUNCTION|REL:EVALUATE-FOR|REL:HYPONYM-OF|REL:USED-FOR,2c11ccca719febbc042171f122fd995562ce4bbae77d5c3daa0592e36f68e3e9,1,medium,
SciERC,train,IJCAI_2016_420_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"In cross-domain learning , there is a more challenging problem that the domain divergence involves more than one dominant factors , e.g. , different viewpoints , various resolutions and changing illuminations . Fortunately , an intermediate domain could often be found to build a bridge across them to facilitate the learning problem . In this paper , we propose a Coupled Marginalized Denoising Auto-encoders framework to address the cross-domain problem . Specifically , we design two marginalized denoising auto-encoders , one for the target and the other for source as well as the intermediate one . To better couple the two denoising auto-encoders learning , we incorporate a feature mapping , which tends to transfer knowledge between the intermediate domain and the target one . Furthermore , the maximum margin criterion , e.g. , intra-class com-pactness and inter-class penalty , on the output layer is imposed to seek more discriminative features across different domains . Extensive experiments on two tasks have demonstrated the superiority of our method over the state-of-the-art methods .",1102,172,7,23,17,1,NER:Generic|NER:Method|NER:OtherScientificTerm|NER:Task|REL:COMPARE|REL:CONJUNCTION|REL:EVALUATE-FOR|REL:HYPONYM-OF|REL:PART-OF|REL:USED-FOR,ca2f73702fe5bc440587e42f6522a6a9fe57f71c134f4f50691676ed679f0768,1,long,
SciERC,train,ICCV_2015_403_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"In this paper , we aim to automatically render aging faces in a personalized way . Basically , a set of age-group specific dictionaries are learned , where the dictionary bases corresponding to the same index yet from different dictionaries form a particular aging process pattern cross different age groups , and a linear combination of these patterns expresses a particular personalized aging process . Moreover , two factors are taken into consideration in the dictionary learning process . First , beyond the aging dictionaries , each subject may have extra personalized facial characteristics , e.g. mole , which are invariant in the aging process . Second , it is challenging or even impossible to collect faces of all age groups for a particular subject , yet much easier and more practical to get face pairs from neighboring age groups . Thus a personality-aware coupled reconstruction loss is utilized to learn the dictionaries based on face pairs from neighboring age groups . Extensive experiments well demonstrate the advantages of our proposed solution over other state-of-the-arts in term of personalized aging progression , as well as the performance gain for cross-age face verification by synthesizing aging faces .",1232,197,7,19,9,1,NER:Generic|NER:Method|NER:OtherScientificTerm|NER:Task|REL:COMPARE|REL:HYPONYM-OF|REL:PART-OF|REL:USED-FOR,339638a0e71052ee41c538878b7b50b1ec6b4d583d9381304a4cba5d53bf2adc,1,long,
SciERC,train,E85-1041,abstract,scierc_entity_relation,processed_data/json/train.json,We propose a draft scheme of the model formalizing the structure of communicative context in dialogue interaction . The relationships between the interacting partners are considered as system of three automata representing the partners of the dialogue and environment .,269,40,2,3,2,1,NER:Generic|NER:Material|NER:OtherScientificTerm|REL:FEATURE-OF|REL:USED-FOR,c34fc80b5b8cb9603a9a3756fc90d42e977629d9db7f77d0901a5faa900708cd,1,short,
SciERC,train,IJCAI_2001_12_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"Visitors who browse the web from wireless PDAs , cell phones , and pagers are frequently stymied by web interfaces optimized for desktop PCs . Simply replacing graphics with text and reformatting tables does not solve the problem , because deep link structures can still require minutes to traverse . In this paper we develop an algorithm , MINPATH , that automatically improves wireless web navigation by suggesting useful shortcut links in real time . MINPATH finds shortcuts by using a learned model of web visitor behavior to estimate the savings of shortcut links , and suggests only the few best links . We explore a variety of predictive models , including Na ¨ ıve Bayes mixture models and mixtures of Markov models , and report empirical evidence that MINPATH finds useful shortcuts that save substantial navigational effort .",835,139,5,14,9,1,NER:Generic|NER:Method|NER:OtherScientificTerm|NER:Task|REL:CONJUNCTION|REL:HYPONYM-OF|REL:USED-FOR,9de5ff198b49c83f63bda0af2e1a5fcd61e344a32f0a5441b82746a187cf9487,1,medium,
SciERC,train,H90-1011,abstract,scierc_entity_relation,processed_data/json/train.json,"This paper describes a particular approach to parsing that utilizes recent advances in unification-based parsing and in classification-based knowledge representation . As unification-based grammatical frameworks are extended to handle richer descriptions of linguistic information , they begin to share many of the properties that have been developed in KL-ONE-like knowledge representation systems . This commonality suggests that some of the classification-based representation techniques can be applied to unification-based linguistic descriptions . This merging supports the integration of semantic and syntactic information into the same system , simultaneously subject to the same types of processes , in an efficient manner . The result is expected to be more efficient parsing due to the increased organization of knowledge . The use of a KL-ONE style representation for parsing and semantic interpretation was first explored in the PSI-KLONE system -LSB- 2 -RSB- , in which parsing is characterized as an inference process called incremental description refinement .",1075,154,6,20,14,1,NER:Generic|NER:Method|NER:OtherScientificTerm|NER:Task|REL:CONJUNCTION|REL:HYPONYM-OF|REL:USED-FOR,9f5ecb810de9ae05260877b2b50e1eb40ad3babb5a12bee5439591e10067eb63,1,long,
SciERC,train,W99-0408,abstract,scierc_entity_relation,processed_data/json/train.json,"In this paper we discuss a proposed user knowledge modeling architecture for the ICICLE system , a language tutoring application for deaf learners of written English . The model will represent the language proficiency of the user and is designed to be referenced during both writing analysis and feedback production . We motivate our model design by citing relevant research on second language and cognitive skill acquisition , and briefly discuss preliminary empirical evidence supporting the design . We conclude by showing how our design can provide a rich and robust information base to a language assessment / correction application by modeling user proficiency at a high level of granularity and specificity .",715,113,4,16,13,1,NER:Generic|NER:Material|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:CONJUNCTION|REL:EVALUATE-FOR|REL:HYPONYM-OF|REL:USED-FOR,d9e9c42e50d03c375355c2f28afd7fb3140449a2cc2a76de2a26646ff05e946a,1,medium,
SciERC,train,IJCAI_2013_5_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"Constraint propagation is one of the key techniques in constraint programming , and a large body of work has built up around it . Special-purpose constraint propagation algorithms frequently make implicit use of short supports -- by examining a subset of the variables , they can infer support -LRB- a justification that a variable-value pair still forms part of a solution to the constraint -RRB- for all other variables and values and save substantial work . Recently short supports have been used in general purpose prop-agators , and -LRB- when the constraint is amenable to short supports -RRB- speed ups of more than three orders of magnitude have been demonstrated . In this paper we present SHORTSTR2 , a development of the Simple Tabular Reduction algorithm STR2 + . We show that SHORTSTR2 is complementary to the existing algorithms SHORTGAC and HAGGISGAC that exploit short supports , while being much simpler . When a constraint is amenable to short supports , the short support set can be exponentially smaller than the full-length support set . Therefore SHORTSTR2 can efficiently propagate many constraints that STR2 + can not even load into memory . We also show that SHORTSTR2 can be combined with a simple algorithm to identify short supports from full-length supports , to provide a superior drop-in replacement for STR2 + .",1343,222,8,23,15,1,NER:Generic|NER:Method|NER:OtherScientificTerm|REL:COMPARE|REL:CONJUNCTION|REL:PART-OF|REL:USED-FOR,f2be1365dd1a03ebb2662125aaa97227d6703d22598dd0f651ed8135edf428f6,1,long,
SciERC,train,C04-1102,abstract,scierc_entity_relation,processed_data/json/train.json,We propose a detection method for orthographic variants caused by transliteration in a large corpus . The method employs two similarities . One is string similarity based on edit distance . The other is contextual similarity by a vector space model . Experimental results show that the method performed a 0.889 F-measure in an open test .,338,57,5,11,5,1,NER:Generic|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:EVALUATE-FOR|REL:USED-FOR,675d31f227d5605b9188a5e69f6fa025dad993f54f76e1654afbc4a3780c2c19,1,short,
SciERC,train,CVPR_2004_21_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"Uncertainty handling plays an important role during shape tracking . We have recently shown that the fusion of measurement information with system dynamics and shape priors greatly improves the tracking performance for very noisy images such as ultrasound sequences -LSB- 22 -RSB- . Nevertheless , this approach required user initialization of the tracking process . This paper solves the automatic initial-ization problem by performing boosted shape detection as a generic measurement process and integrating it in our tracking framework . We show how to propagate the local detection uncertainties of multiple shape candidates during shape alignment , fusion with the predicted shape prior , and fusion with subspace constraints . As a result , we treat all sources of information in a unified way and derive the posterior shape model as the shape with the maximum likelihood . Our framework is applied for the automatic tracking of endocardium in ultrasound sequences of the human heart . Reliable detection and robust tracking results are achieved when compared to existing approaches and inter-expert variations .",1118,173,8,29,14,1,NER:Generic|NER:Material|NER:Method|NER:OtherScientificTerm|NER:Task|REL:CONJUNCTION|REL:HYPONYM-OF|REL:PART-OF|REL:USED-FOR,88a5f9d670f2169da6acd28bdd4e1fb82edbee1627c5c49af21edb214463b65a,1,long,
SciERC,train,N03-2017,abstract,scierc_entity_relation,processed_data/json/train.json,"We present a syntax-based constraint for word alignment , known as the cohesion constraint . It requires disjoint English phrases to be mapped to non-overlapping intervals in the French sentence . We evaluate the utility of this constraint in two different algorithms . The results show that it can provide a significant improvement in alignment quality .",355,57,4,10,5,1,NER:Generic|NER:Material|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:EVALUATE-FOR|REL:HYPONYM-OF|REL:USED-FOR,4ff6e545f5e04c5a79a7ee3be1229a75cd76ef406e48d6e6e0f04d9fdb50909d,1,short,
SciERC,train,P05-1018,abstract,scierc_entity_relation,processed_data/json/train.json,This paper considers the problem of automatic assessment of local coherence . We present a novel entity-based representation of discourse which is inspired by Centering Theory and can be computed automatically from raw text . We view coherence assessment as a ranking learning problem and show that the proposed discourse representation supports the effective learning of a ranking function . Our experiments demonstrate that the induced model achieves significantly higher accuracy than a state-of-the-art coherence model .,524,77,4,11,7,1,NER:Material|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:COMPARE|REL:EVALUATE-FOR|REL:USED-FOR,92a1377b60ab69d7f1539f9e542ecb9894613f419433ca3aa20b7468048f367a,1,short,
SciERC,train,C92-3165,abstract,scierc_entity_relation,processed_data/json/train.json,"This paper introduces a robust interactive method for speech understanding . The generalized LR parsing is enhanced in this approach . Parsing proceeds from left to right correcting minor errors . When a very noisy portion is detected , the parser skips that portion using a fake non-terminal symbol . The unidentified portion is resolved by re-utterance of that portion which is parsed very efficiently by using the parse record of the first utterance . The user does not have to speak the whole sentence again . This method is also capable of handling unknown words , which is important in practical systems . Detected unknown words can be incrementally incorporated into the dictionary after the interaction with the user . A pilot system has shown great effectiveness of this approach .",790,132,9,10,4,1,NER:Generic|NER:Method|NER:OtherScientificTerm|NER:Task|REL:USED-FOR,9231752420bd0f9c83be7f291e37541da144dee031de96e342a14aed6170fb7f,1,medium,
SciERC,train,C08-1118,abstract,scierc_entity_relation,processed_data/json/train.json,This paper shows that it is very often possible to identify the source language of medium-length speeches in the EUROPARL corpus on the basis of frequency counts of word n-grams -LRB- 87.2 % -96.7 % accuracy depending on classification method -RRB- . The paper also examines in detail which positive markers are most powerful and identifies a number of linguistic aspects as well as culture - and domain-related ones .,418,70,2,7,2,1,NER:Material|NER:Method|NER:Metric|NER:OtherScientificTerm|REL:EVALUATE-FOR|REL:PART-OF,9f1b52c4ebeb8987b84c8e93105da198bdd19c8b3475e01c90ea681100972252,1,short,
SciERC,train,INTERSPEECH_2006_28_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"We investigated whether automatic phonetic transcriptions -LRB- APTs -RRB- can replace manually verified phonetic transcriptions -LRB- MPTs -RRB- in a large corpus-based study on pronunciation variation . To this end , we compared the performance of both transcription types in a classification experiment aimed at establishing the direct influence of a particular situational setting on pronunciation variation . We trained classifiers on the speech processes extracted from the alignments of an APT and an MPT with a canonical transcription . We tested whether the classifiers were equally good at verifying whether unknown transcriptions represent read speech or telephone dialogues , and whether the same speech processes were identified to distinguish between transcriptions of the two situational settings . Our results not only show that similar distinguishing speech processes were identified ; our APT-based classifier yielded better classification accuracy than the MPT-based classifier whilst using fewer classification features .",1041,148,5,20,18,1,NER:Material|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:COMPARE|REL:CONJUNCTION|REL:EVALUATE-FOR|REL:USED-FOR,6822ffacd69a86b8bd72e627d9dae39d22ac5618f6a17376d4925b83f04b3663,1,long,
SciERC,train,AAAI_2015_10_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"Machine reading is a relatively new field that features computer programs designed to read flowing text and extract fact assertions expressed by the narrative content . This task involves two core technologies : natural language processing -LRB- NLP -RRB- and information extraction -LRB- IE -RRB- . In this paper we describe a machine reading system that we have developed within a cognitive architecture . We show how we have integrated into the framework several levels of knowledge for a particular domain , ideas from cognitive semantics and construction grammar , plus tools from prior NLP and IE research . The result is a system that is capable of reading and interpreting complex and fairly idiosyncratic texts in the family history domain . We describe the architecture and performance of the system . After presenting the results from several evaluations that we have carried out , we summarize possible future directions .",934,151,7,19,10,1,NER:Generic|NER:Material|NER:Method|NER:OtherScientificTerm|NER:Task|REL:CONJUNCTION|REL:FEATURE-OF|REL:PART-OF|REL:USED-FOR,ecb5a6c571fdcd7864641c3262492bf5b1aff71a89a38d7ddaedb1d5f14f64a0,1,long,
SciERC,train,ICASSP_1997_707_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"Nonstationary chaotic behavior is not an oxymoron . We present two methods for capturing nonstationary chaos , then present a few examples including biological signals , ocean waves and traffic flow . The issue is of practical interest because it is often useful to capture when nonstationary events take place and it is desirable to know over what periods a signal is stationary .",381,64,3,9,6,1,NER:Generic|NER:Material|NER:OtherScientificTerm|REL:CONJUNCTION|REL:HYPONYM-OF|REL:USED-FOR,39c97548434a437e95ac114dab1d762088082d8b8697a6ab7209a9c86c5d9239,1,short,
SciERC,train,P01-1009,abstract,scierc_entity_relation,processed_data/json/train.json,"This paper presents a formal analysis for a large class of words called alternative markers , which includes other -LRB- than -RRB- , such -LRB- as -RRB- , and besides . These words appear frequently enough in dialog to warrant serious attention , yet present natural language search engines perform poorly on queries containing them . I show that the performance of a search engine can be improved dramatically by incorporating an approximation of the formal analysis that is compatible with the search engine 's operational semantics . The value of this approach is that as the operational semantics of natural language applications improve , even larger improvements are possible .",684,111,4,14,5,1,NER:Generic|NER:Method|NER:OtherScientificTerm|NER:Task|REL:PART-OF|REL:USED-FOR,48ff90018efc0a34d9d2a4b817fb253d6e8109040258065b3ea1e93b67a62f07,1,medium,
SciERC,train,H01-1058,abstract,scierc_entity_relation,processed_data/json/train.json,"In this paper , we address the problem of combining several language models -LRB- LMs -RRB- . We find that simple interpolation methods , like log-linear and linear interpolation , improve the performance but fall short of the performance of an oracle . The oracle knows the reference word string and selects the word string with the best performance -LRB- typically , word or semantic error rate -RRB- from a list of word strings , where each word string has been obtained by using a different LM . Actually , the oracle acts like a dynamic combiner with hard decisions using the reference . We provide experimental results that clearly show the need for a dynamic language model combination to improve the performance further . We suggest a method that mimics the behavior of the oracle using a neural network or a decision tree . The method amounts to tagging LMs with confidence measures and picking the best hypothesis corresponding to the LM with the best confidence .",974,168,7,15,7,1,NER:Generic|NER:Method|NER:Metric|NER:OtherScientificTerm|REL:CONJUNCTION|REL:FEATURE-OF|REL:HYPONYM-OF|REL:USED-FOR,7e6fd0ad258a416576d0701193b51cbbe4cfcfb7c01ded15322d1a6305d731b2,1,long,
SciERC,train,H05-1064,abstract,scierc_entity_relation,processed_data/json/train.json,"We describe a new method for the representation of NLP structures within reranking approaches . We make use of a conditional log-linear model , with hidden variables representing the assignment of lexical items to word clusters or word senses . The model learns to automatically make these assignments based on a discriminative training criterion . Training and decoding with the model requires summing over an exponential number of hidden-variable assignments : the required summations can be computed efficiently and exactly using dynamic programming . As a case study , we apply the model to parse reranking . The model gives an F-measure improvement of ~ 1.25 % beyond the base parser , and an ~ 0.25 % improvement beyond Collins -LRB- 2000 -RRB- reranker . Although our experiments are focused on parsing , the techniques described generalize naturally to NLP structures other than parse trees .",900,146,7,23,14,1,NER:Generic|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:COMPARE|REL:CONJUNCTION|REL:EVALUATE-FOR|REL:FEATURE-OF|REL:USED-FOR,ce03778d3b1eb42d45bc38644932570c320326342d6d15192a753dfcc8c3ee66,1,medium,
SciERC,train,NIPS_2003_18_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"This paper presents an algorithm for learning the time-varying shape of a non-rigid 3D object from uncalibrated 2D tracking data . We model shape motion as a rigid component -LRB- rotation and translation -RRB- combined with a non-rigid deformation . Reconstruction is ill-posed if arbitrary deformations are allowed . We constrain the problem by assuming that the object shape at each time instant is drawn from a Gaussian distribution . Based on this assumption , the algorithm simultaneously estimates 3D shape and motion for each time frame , learns the parameters of the Gaussian , and robustly fills-in missing data points . We then extend the algorithm to model temporal smoothness in object shape , thus allowing it to handle severe cases of missing data .",764,126,6,19,5,1,NER:Generic|NER:Material|NER:Method|NER:OtherScientificTerm|NER:Task|REL:USED-FOR,f7e5b47d8c45f42ccba5b6875ddefae5158bf2b86569e19b749d1bb169e236d7,1,medium,
SciERC,train,X98-1022,abstract,scierc_entity_relation,processed_data/json/train.json,"Automatic summarization and information extraction are two important Internet services . MUC and SUMMAC play their appropriate roles in the next generation Internet . This paper focuses on the automatic summarization and proposes two different models to extract sentences for summary generation under two tasks initiated by SUMMAC-1 . For categorization task , positive feature vectors and negative feature vectors are used cooperatively to construct generic , indicative summaries . For adhoc task , a text model based on relationship between nouns and verbs is used to filter out irrelevant discourse segment , to rank relevant sentences , and to generate the user-directed summaries . The result shows that the NormF of the best summary and that of the fixed summary for adhoc tasks are 0.456 and 0 . 447 . The NormF of the best summary and that of the fixed summary for categorization task are 0.4090 and 0.4023 . Our system outperforms the average system in categorization task but does a common job in adhoc task .",1020,169,9,25,20,1,NER:Generic|NER:Material|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:COMPARE|REL:CONJUNCTION|REL:EVALUATE-FOR|REL:PART-OF|REL:USED-FOR,e5807036c8808e92ec10f5abcebdfaeec385e018c959ff1c28665d92cc407591,1,long,
